,PctLess9thGrade,PctNotHSGrad,PctBSorMore,PctUnemployed,PctEmploy,PctHousOccup,PctHousOwnOcc,PctVacantBoarded,PctVacMore6Mos,racepctblack,racePctWhite,racePctAsian,racePctHisp,nonViolPerPop,ViolentCrimesPerPop,State
0,5.81,9.9,48.18,2.7,64.55,98.37,91.01,3.12,37.5,1.37,91.78,6.5,1.88,1394.59,41.02,New Jersey
1,5.59,20.23,16.51,5.55,60.08,86.55,82.54,0.72,60.24,0.63,97.81,0.83,2.58,2543.13,131.47,New Jersey
2,4.57,12.02,41.42,3.75,67.53,97.46,81.45,2.53,46.46,11.1,83.79,4.57,2.83,2160.1,115.14,New Jersey
3,5.04,18.12,20.42,4.1,69.92,89.49,68.94,0.86,38.3,7.36,88.58,2.67,3.69,3668.03,251.24,New Jersey
4,4.91,9.49,48.6,2.71,69.32,98.06,75.52,1.19,38.1,0.54,94.18,4.9,2.7,1032.55,49.56,New Jersey
5,7.01,16.92,32.44,4.17,62.97,92.58,68.15,2.99,42.16,3.01,89.39,6.45,5.78,2094.09,129.13,New Jersey
6,7.05,11.6,66.02,3.21,57.12,92.91,43.19,4.82,34.54,8.51,82.51,7.07,5.13,5041.52,83.89,New Jersey
7,5.05,12.9,25.01,2.94,74.05,88.97,85.78,2.55,75.92,0.76,98.02,0.81,2.23,1348.5,70.4,New Jersey
8,6.11,16.13,32.71,3.08,70.47,94.82,64.55,1.11,29.32,11.07,80.05,6.81,5.81,3647.57,288.37,New Jersey
9,22.09,42.64,15.25,7.53,61.36,94.88,33.37,4.96,41.22,0.57,88.39,5.85,29.4,5188.82,581.57,New Jersey
10,5.91,14.77,26.1,4.16,70.74,89.32,45.11,0.77,26.27,12.49,78.85,6.59,4.64,5411.19,221.64,New Jersey
11,28.42,49.46,10.71,10.87,60.52,91.24,21.76,2.37,36.21,5.11,74.68,2.09,75.62,4621.91,871.02,New Jersey
12,15.92,34.0,23.41,8.85,57.84,93.77,32.33,7.46,31.01,29.58,57.37,3.96,19.33,7502.41,1501.93,New Jersey
13,12.78,36.6,6.44,5.92,59.34,93.25,73.55,30.03,72.37,0.23,99.11,0.4,0.97,3154.17,160.93,New Jersey
14,11.19,30.12,11.83,7.94,56.19,76.7,82.01,3.2,58.99,13.09,84.93,1.09,1.5,4027.78,231.48,New Jersey
15,2.69,10.1,37.11,2.55,72.68,93.9,81.9,0.91,21.07,5.97,90.82,2.63,1.65,2149.5,103.28,New Jersey
16,3.25,9.98,53.09,3.64,65.49,94.35,75.01,0.32,24.52,18.69,76.63,3.42,3.27,7311.8,672.35,New Jersey
17,3.34,6.81,54.86,2.86,66.47,95.3,83.23,0.64,28.75,1.72,94.97,3.05,1.92,1216.94,75.72,New Jersey
18,10.55,22.97,22.52,3.95,64.06,96.82,65.67,1.34,42.41,0.42,97.93,1.0,3.1,2140.89,77.05,New Jersey
19,3.8,10.04,42.03,2.46,74.58,94.03,85.76,0.57,60.97,0.79,96.23,2.5,1.9,2239.74,56.31,New Jersey
20,2.84,15.27,19.78,5.61,71.26,98.29,93.63,7.81,38.02,56.07,39.68,1.92,5.3,3459.04,293.41,New Jersey
21,8.4,21.54,21.32,4.59,68.04,96.9,54.22,1.89,52.2,2.03,91.38,4.24,9.56,1438.79,71.54,New Jersey
22,13.14,31.78,12.16,6.69,59.11,96.33,61.22,1.09,40.15,20.01,76.76,1.5,7.36,4674.45,530.57,New Jersey
23,3.91,8.81,53.58,2.99,67.62,97.18,81.28,0.67,42.14,4.58,91.47,3.53,2.04,2170.08,88.16,New Jersey
24,13.67,38.7,6.95,7.32,28.6,88.63,93.14,0.53,60.16,1.04,98.45,0.24,1.5,2016.5,106.68,New Jersey
25,8.18,22.79,19.2,5.56,62.97,97.24,74.56,4.32,31.65,1.06,95.63,2.65,3.4,3385.92,86.45,New Jersey
26,3.21,11.87,36.01,2.73,69.82,96.38,85.99,3.28,43.17,0.66,95.64,3.31,1.9,1579.65,160.76,New Jersey
27,5.34,13.63,39.14,2.93,65.28,98.03,73.38,2.44,20.73,0.61,90.3,8.42,3.51,1579.19,82.15,New Jersey
28,2.04,6.7,47.02,3.75,67.55,93.81,83.73,0.0,31.6,0.77,94.1,4.43,2.24,2796.82,185.08,New Jersey
29,7.41,18.96,20.95,4.09,65.28,97.61,74.32,0.66,24.5,1.05,91.23,6.83,5.42,1690.74,57.31,New Jersey
30,5.07,17.21,26.25,2.28,61.37,97.7,69.61,3.4,24.49,0.82,97.89,1.0,0.98,4482.54,310.48,New Jersey
31,17.26,33.67,15.29,7.04,62.03,94.68,43.57,2.78,39.48,2.89,89.61,4.85,9.24,3913.02,206.88,New Jersey
32,8.86,23.91,9.87,3.62,62.75,96.38,75.79,4.52,46.73,0.5,98.33,0.85,0.77,2075.36,92.08,New Jersey
33,13.87,34.43,18.07,9.74,60.27,94.01,28.14,7.72,52.71,70.33,23.96,1.29,10.82,9360.21,2594.03,New Jersey
34,3.82,13.96,34.7,4.61,68.63,92.51,65.3,0.4,46.53,5.24,90.35,3.72,2.66,4519.97,228.86,New Jersey
35,4.26,13.03,49.32,5.41,67.38,96.34,55.85,3.63,43.92,31.0,65.5,2.27,3.31,6256.36,509.18,New Jersey
36,3.4,11.38,29.77,3.64,76.91,93.47,52.52,1.08,28.01,2.83,93.93,2.34,3.34,1560.37,185.97,New Jersey
37,5.42,13.81,29.98,3.25,71.37,95.56,88.41,1.99,30.79,1.34,94.55,3.56,2.52,1960.97,103.96,New Jersey
38,5.08,12.1,45.01,3.03,62.6,96.43,79.47,4.17,32.41,5.73,91.43,2.42,1.06,2837.05,181.86,New Jersey
39,10.72,34.13,11.83,9.91,63.77,91.24,32.44,5.16,28.73,70.08,22.43,2.17,10.58,9811.74,2423.47,New Jersey
40,17.29,30.22,39.71,6.16,67.21,86.31,21.63,2.77,35.97,5.52,78.97,4.43,30.05,7242.96,772.3,New Jersey
41,8.88,21.69,17.0,4.04,67.73,95.52,71.32,2.68,20.23,3.23,93.11,3.02,4.01,2828.41,284.21,New Jersey
42,10.6,32.12,8.25,5.28,63.33,97.7,69.33,4.55,24.55,0.93,97.69,0.91,1.59,1531.36,81.02,New Jersey
43,5.78,12.06,46.78,2.67,62.91,97.07,94.58,6.86,56.86,0.49,88.19,11.17,2.01,2138.59,99.47,New Jersey
44,7.7,16.81,28.05,3.76,70.99,94.31,58.79,0.23,41.99,5.19,86.08,3.3,12.01,5737.58,443.73,New Jersey
45,7.98,24.15,17.48,5.37,65.48,92.79,81.86,4.89,64.33,22.95,74.55,1.13,3.07,2730.2,494.37,New Jersey
46,14.73,30.42,15.79,8.03,62.41,95.69,41.52,0.0,50.48,2.71,93.43,2.62,4.39,2921.92,47.43,New Jersey
47,4.38,12.62,33.75,2.57,67.99,97.23,81.91,0.86,42.49,3.04,95.25,1.46,2.4,2381.26,103.35,New Jersey
48,3.35,9.61,40.97,4.36,65.98,96.23,81.31,1.49,42.91,0.42,98.11,1.14,0.97,1975.16,114.23,New Jersey
49,3.17,7.27,60.94,2.25,62.44,97.2,81.76,1.51,37.69,1.2,93.59,4.94,1.67,3601.46,116.35,New Jersey
50,4.17,11.99,40.94,3.86,70.02,96.92,84.3,1.05,36.92,2.23,88.14,9.06,2.86,3321.36,152.07,New Jersey
51,20.43,41.52,11.46,9.91,59.6,94.64,31.7,4.74,34.87,19.85,65.54,2.73,39.14,7568.62,1311.2,New Jersey
52,22.45,45.12,8.71,11.04,59.88,95.25,33.62,5.75,38.05,36.01,41.15,1.44,40.96,6672.33,1571.14,New Jersey
53,6.2,21.19,20.36,3.44,68.73,86.68,55.33,0.55,47.11,4.07,93.09,1.92,2.79,2839.83,207.79,New Jersey
54,6.18,20.42,22.04,4.58,63.5,96.74,70.02,0.0,23.13,0.81,94.59,3.73,4.22,3140.65,84.88,New Jersey
55,11.03,25.29,14.33,4.46,67.39,95.81,78.76,1.82,33.94,7.02,91.7,0.72,1.67,2217.57,295.04,New Jersey
56,7.52,25.96,15.81,4.89,67.98,93.41,49.76,3.01,9.53,5.61,91.38,2.17,2.24,3951.38,300.04,New Jersey
57,5.84,15.72,31.61,4.6,68.01,96.28,67.46,1.11,26.94,17.62,65.95,13.9,5.9,2631.36,313.89,New Jersey
58,11.31,27.3,17.19,7.29,48.9,91.41,65.4,2.28,53.91,14.11,79.77,1.42,10.32,5701.29,581.98,New Jersey
59,8.08,25.15,13.34,4.26,62.6,97.57,80.7,5.83,47.25,14.69,80.5,1.79,4.87,5439.81,559.86,New Jersey
60,2.81,10.5,42.01,2.54,64.2,96.36,76.04,0.48,20.19,1.76,95.02,2.76,2.02,1960.93,188.13,New Jersey
61,7.9,19.9,34.68,5.32,66.2,95.32,60.96,2.5,35.0,39.47,49.16,4.94,15.67,4592.69,623.55,New Jersey
62,6.37,17.6,26.62,3.63,66.51,95.03,54.07,0.3,33.73,3.04,94.32,1.61,2.57,4817.69,408.98,New Jersey
63,4.77,15.09,29.77,4.65,65.6,96.35,84.63,2.56,39.28,1.9,94.96,2.66,2.71,1572.73,68.68,New Jersey
64,7.11,17.66,23.77,5.04,66.85,97.39,71.08,0.0,29.66,4.19,83.92,9.09,9.21,1791.0,151.91,New Jersey
65,20.02,50.33,6.44,16.3,46.1,88.35,48.39,39.89,63.87,56.42,19.0,1.32,31.17,12109.83,3530.78,New Jersey
66,5.02,16.79,24.22,4.49,70.08,94.64,67.89,1.41,49.73,3.35,89.44,6.14,5.01,2659.71,141.06,New Jersey
67,9.22,17.16,30.15,3.8,69.07,96.22,74.9,1.97,37.5,0.95,94.72,3.63,3.47,1337.28,98.73,New Jersey
68,6.25,15.65,34.53,2.97,67.95,97.63,90.4,7.61,68.48,1.04,92.63,6.21,2.31,1773.91,92.04,New Jersey
69,2.37,6.57,56.4,3.11,64.33,96.4,78.57,2.24,28.53,1.99,90.35,7.23,2.83,1240.86,80.84,New Jersey
70,6.01,20.83,12.38,5.46,58.32,84.92,87.87,1.49,45.87,1.59,96.89,0.88,2.52,1690.61,103.18,New Jersey
71,1.94,10.49,31.87,5.57,73.27,95.53,92.59,1.08,58.92,1.8,95.41,1.39,2.5,1059.59,15.03,New Jersey
72,8.61,22.13,25.36,5.57,63.87,95.66,54.82,0.95,43.44,4.3,89.06,5.0,5.13,4309.42,373.88,New Jersey
73,9.55,26.13,24.07,3.87,61.4,89.67,65.17,0.32,34.3,2.39,91.79,4.91,7.81,6964.85,271.86,New Jersey
74,4.97,14.58,27.88,4.1,63.29,97.74,95.74,2.73,40.0,5.29,92.35,1.78,1.4,2994.77,247.89,New Jersey
75,5.16,12.38,44.47,3.01,66.75,94.47,72.25,1.31,41.46,8.04,86.58,4.52,2.58,7399.16,264.12,New Jersey
76,4.71,18.67,21.15,4.35,68.87,54.83,56.17,1.51,68.76,3.21,93.44,1.78,4.46,5382.32,348.32,New Jersey
77,5.94,15.25,48.52,5.21,70.81,94.64,41.15,2.14,39.76,8.49,84.84,4.99,5.5,2253.09,84.88,New Jersey
78,4.68,18.14,23.04,4.38,69.24,93.86,77.14,0.7,11.19,6.94,90.21,2.25,1.19,3024.91,378.11,New Jersey
79,28.9,49.75,8.23,10.91,60.55,94.61,42.03,5.06,45.19,11.76,59.82,1.57,55.54,6534.41,1214.45,New Jersey
80,9.47,27.44,17.3,6.97,59.88,95.66,68.77,12.05,37.95,18.72,76.46,1.23,5.72,6982.13,1444.58,New Jersey
81,11.62,28.39,17.11,6.38,68.11,96.66,74.29,1.22,45.53,40.76,53.02,3.86,13.34,6080.67,926.23,New Jersey
82,10.85,26.69,16.56,4.71,60.64,88.26,56.17,0.13,31.12,0.23,95.53,3.47,6.03,2629.54,155.09,New Jersey
83,15.2,31.51,15.28,6.22,63.72,92.82,49.6,1.14,38.24,1.24,90.49,4.7,17.06,5695.64,433.21,New Jersey
84,4.85,10.79,53.61,3.06,64.35,96.14,67.77,2.27,21.04,5.66,90.17,3.07,5.28,2049.66,88.69,New Jersey
85,5.68,18.6,18.92,5.21,68.7,93.13,74.72,5.34,64.35,6.14,91.22,2.03,1.47,3708.2,285.38,New Jersey
86,5.33,12.26,47.87,3.45,68.82,97.37,79.78,0.0,42.06,11.91,83.95,3.03,3.6,4659.2,450.45,New Jersey
87,5.36,11.77,36.54,2.99,71.14,97.21,91.78,1.79,33.04,1.08,96.2,2.32,2.72,696.61,24.59,New Jersey
88,6.71,16.78,31.32,3.13,59.7,98.41,77.02,0.0,49.25,2.24,92.09,5.06,2.53,2542.3,384.21,New Jersey
89,15.95,41.66,9.55,9.63,55.72,72.74,30.4,13.66,57.59,51.31,35.45,3.97,15.3,27010.77,3583.48,New Jersey
90,6.61,20.48,16.29,5.68,67.52,93.94,87.22,2.65,54.11,3.14,94.45,1.51,4.35,4227.9,67.2,New Jersey
91,5.87,14.66,35.8,3.91,66.45,96.63,84.34,2.73,45.36,1.06,95.0,3.12,3.08,5088.28,125.54,New Jersey
92,10.14,25.57,25.74,5.79,66.31,92.99,34.55,1.69,33.28,24.77,66.36,3.67,15.1,5056.46,441.08,New Jersey
93,6.17,18.86,20.15,4.48,62.06,87.53,76.84,0.3,52.91,0.39,98.9,0.29,1.46,2744.13,96.47,New Jersey
94,3.41,10.09,43.21,4.11,66.35,96.04,91.42,3.42,40.41,1.18,90.88,7.64,2.22,2010.14,85.9,New Jersey
95,7.62,23.05,13.76,6.1,58.54,83.64,88.93,0.32,62.53,0.31,98.88,0.42,1.62,2719.18,78.94,New Jersey
96,10.82,28.15,20.13,8.57,61.06,84.68,44.09,2.63,55.03,19.5,73.5,1.47,13.57,7304.97,1227.61,New Jersey
97,12.56,25.64,21.07,4.19,68.52,95.71,59.46,0.0,28.8,1.42,94.91,2.34,4.23,4050.74,236.22,New Jersey
98,15.09,32.23,14.06,7.19,68.73,96.23,53.99,4.95,36.14,6.1,77.69,1.95,40.36,3973.1,253.89,New Jersey
99,5.78,22.53,17.99,3.2,65.4,95.69,90.24,2.56,29.49,1.3,97.8,0.57,1.1,4004.92,170.42,New Jersey
100,3.04,9.91,37.19,2.47,75.42,94.68,76.36,0.85,20.54,2.84,93.55,3.18,1.35,2321.27,182.6,New Jersey
101,2.15,8.86,55.62,1.78,62.53,96.54,83.39,0.62,43.48,1.38,97.49,0.88,0.86,3366.83,68.71,New Jersey
102,7.1,21.14,22.81,5.37,67.87,96.92,58.97,1.86,32.92,1.07,92.13,5.3,7.3,2489.79,146.46,New Jersey
103,10.14,34.58,9.23,7.71,53.15,65.96,82.13,0.32,61.56,1.05,97.91,0.61,1.16,3373.53,243.98,New Jersey
104,8.68,21.61,32.43,5.03,67.6,95.06,37.6,2.87,30.95,23.06,70.73,2.51,13.65,5615.18,794.37,New Jersey
105,7.1,20.26,15.33,3.36,71.78,96.83,87.31,6.19,38.05,4.42,93.96,1.01,1.51,2851.13,131.59,New Jersey
106,20.35,38.66,12.63,7.2,58.57,95.83,67.0,5.02,50.74,11.48,73.01,0.88,23.6,7276.73,902.54,New Jersey
107,6.98,21.2,20.59,5.01,60.35,76.73,82.02,0.48,74.3,0.85,97.1,1.49,2.55,3743.02,205.97,New Jersey
108,3.11,8.55,43.63,3.46,77.15,96.81,80.9,2.11,28.61,3.26,91.39,4.63,2.67,1443.33,32.29,New Jersey
109,13.64,24.95,26.37,5.86,60.79,89.5,49.0,0.39,30.1,1.81,88.15,7.45,10.94,1675.9,124.14,New Jersey
110,6.64,18.7,30.35,3.76,62.04,97.74,80.97,0.0,20.68,0.59,95.96,2.93,3.48,1885.47,79.76,New Jersey
111,4.36,11.91,38.37,4.7,68.51,95.38,91.49,0.84,48.1,1.1,90.42,8.1,1.94,2054.58,37.13,New Jersey
112,8.39,24.0,21.74,8.11,59.52,92.26,59.25,2.38,23.28,18.53,78.72,1.5,2.89,5133.34,412.04,New Jersey
113,21.97,48.79,8.55,14.71,51.51,89.34,23.06,11.05,42.99,58.46,28.62,1.19,26.07,10942.54,3928.03,New Jersey
114,9.96,30.7,14.65,11.76,59.92,93.87,27.48,7.32,37.42,89.95,7.21,0.63,4.05,7166.95,2941.62,New Jersey
115,5.65,14.54,37.58,3.14,67.92,96.84,78.65,4.35,24.22,6.09,88.43,4.7,2.83,2699.81,183.56,New Jersey
116,1.95,6.87,42.62,3.85,68.78,91.27,86.37,0.8,50.1,0.38,98.17,1.13,1.81,1366.51,51.57,New Jersey
117,7.82,20.69,25.55,3.82,62.49,96.68,74.97,2.4,23.56,18.26,78.71,1.79,2.69,5063.33,216.31,New Jersey
118,17.12,31.91,16.47,3.91,58.19,96.92,81.27,0.91,78.18,1.18,96.83,1.33,2.73,4908.45,182.15,New Jersey
119,5.68,11.35,41.55,2.03,69.73,99.0,89.71,0.0,47.22,0.51,95.7,3.47,1.73,2473.33,84.96,New Jersey
